COPY_ID,route,rendered_on_routes,page_section,component_or_file,source_location,runtime_or_source,visibility_or_state,current_text,type,claim_count,claim_ids,source_or_evidence,status,problem,proposed_action,duplicate_group,human_validation,notes
COPY-GLOBAL-SKIPLINK-001,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,chrome,painel-gsds/src/components/layout/SkipLink.astro,SkipLink.astro:label default,both,default,Ir para o conteúdo,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-HEADER-001,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/components/layout/GlobalHeader.astro,GlobalHeader.astro:aria-label brandPilot,both,default,Início — GSD Dashboard,UI,0,NONE,N/A_NOT_FACTUAL,needs_review,Mistura inglês GSD Dashboard com marca portuguesa Painel GSDs.,revise,NONE,required,Confirmado em runtime nas 4 rotas. alt da lockup é vazio; o nome acessível depende deste aria-label.
COPY-GLOBAL-NAV-001,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/lib/navigation/siteNav.ts,SITE_NAV_ITEMS[0].label,both,default,Visão geral,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,DUP-NAV-PRIMARY,NONE,"Desktop e mobile consomem o mesmo SoT de navegação. aria-current também marca Visão geral em rotas internas porque href / faz endsWith verdadeiro — achado de estado acessível, não do texto literal. Ver ISSUE-7A0-007."
COPY-GLOBAL-NAV-002,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/lib/navigation/siteNav.ts,SITE_NAV_ITEMS[1].label,both,default,Bases clínicas,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,DUP-NAV-PRIMARY,NONE,NONE
COPY-GLOBAL-NAV-003,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/lib/navigation/siteNav.ts,SITE_NAV_ITEMS[2].label,both,default,Impacto socioeconômico,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,DUP-NAV-PRIMARY,NONE,NONE
COPY-GLOBAL-NAV-004,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/lib/navigation/siteNav.ts,SITE_NAV_ITEMS[3].label,both,default,Observatório de startups,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,DUP-NAV-PRIMARY,NONE,NONE
COPY-GLOBAL-NAV-005,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/lib/navigation/siteNav.ts,SITE_NAV_ITEMS[4].label + hint,both,default,Metodologia | Em breve,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,available:false; não é link. O 404 de /metodologia/ digitada manualmente não é defeito da copy visível. Falso positivo F5 removido nesta correção.
COPY-GLOBAL-NAV-006,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/components/layout/GlobalHeader.astro,nav aria-label,both,default,Principal,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-MOBILE-001,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/components/layout/MobileNavigation.tsx,toggle closed label,source,"viewport < 64rem, menu closed; 64–71.99rem also in brandPilot",Menu | ☰,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,Ícone ☰ é o conteúdo visível do botão fechado; o nome acessível permanece Menu.
COPY-GLOBAL-MOBILE-002,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/components/layout/MobileNavigation.tsx,toggle open label,source,menu open,Fechar | ✕,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,Ícone ✕ no botão aberto.
COPY-GLOBAL-MOBILE-003,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/components/layout/MobileNavigation.tsx,dialog title default,source,menu open,Menu de navegação,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-MOBILE-004,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/components/layout/MobileNavigation.tsx,close button,source,menu open,Fechar menu,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-FOOTER-001,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,footer,painel-gsds/src/components/layout/GlobalFooter.astro,footer-brand,both,default,Painel Global de Inovação em Glicogenoses,editorial,1,COPY-GLOBAL-FOOTER-001.C01,EV-CODE-001,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-FOOTER-002,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,footer,painel-gsds/src/components/layout/GlobalFooter.astro,footer-meta template,both,default,© {year} · Última revisão: | {lastReviewedAt} | © 2026 · Última revisão: | 2026-08-10 | 2026-08-12 | 2026-08-24,UI,1,COPY-GLOBAL-FOOTER-002.C01,EV-CODE-001 | EV-RUNTIME-001,supported,NONE,keep,NONE,NONE,year = new Date().getFullYear() no build/dev; lastReviewedAt vem da página. Runtime 2026 observado. Átomo do prefixo termina em dois-pontos; a data vive no <time> seguinte. Literais observados: Home 2026-08-10; clínica/socio 2026-08-12; observatório 2026-08-24.
COPY-GLOBAL-FOOTER-003,GLOBAL,/ | /analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,footer,painel-gsds/src/layouts/BaseLayout.astro,footerNote default vs hideFooterMedicalNotice,source,hidden on the 4 in-scope routes; default text would show elsewhere,Conteúdo informativo. Não substitui avaliação médica.,notice,1,COPY-GLOBAL-FOOTER-003.C01,EV-CODE-001,supported,NONE,keep,DUP-MEDICAL-NOTICE,NONE,BaseLayout omite o notice nas 4 rotas do dashboard. Clinical page uses a more specific notice in ResearchHeader.
