component,file,used_on,role,visual_dependencies,current_tokens,responsive_behavior,accessibility_notes,brand_gap,classification,6d_target_phase,notes
BaseLayout,src/layouts/BaseLayout.astro,"Home Clínica Socio Observatório Design System",document shell fonts favicon header footer,LocalFonts GlobalHeader MobileNavigation GlobalFooter SkipLink global.css,surface-executive/editorial,full viewport,lang pt-BR skip target conteudo-principal,favicon+og Image are Astro rocket; fonts Manrope,RESTYLE,6D.3_HOME_PILOT,KEEP document structure. Shell/metadata/assets change only with Home pilot and authorized assets; no 6D.2 visual remapping.
PageContainer,src/components/layout/PageContainer.astro,all analytical pages,width constraint,utilities .container,width-global/wide/editorial,fluid to max-width,none,none vs 6D.0 grid (unspecified),KEEP,DEFER,Layout primitive. No foundation change required.
SkipLink,src/components/layout/SkipLink.astro,all pages,keyboard skip,ink-950 paper-50 radius-md z-skip,tokens,hidden until focus,visible on focus min-height touch-min,colors CONFLICTS; structure KEEP,KEEP,6D.3_HOME_PILOT,KEEP structure. Revalidate contrast after Home visual change; no 6D.2 code change required.
LocalFonts,src/components/layout/LocalFonts.astro,all pages,font-face Inter+Manrope,public/fonts woff2 OFL,n/a,n/a,preload crossorigin,Manrope CONFLICTS; Inter MATCHES; Work Sans absent,REPLACE,6D.2_FOUNDATION,BLOCKED_BY_ASSET — Work Sans file/license required. Inter remains. Do not swap Manrope globally until that condition.
GlobalHeader,src/components/layout/GlobalHeader.astro,all pages,sticky chrome + generic CSS product mark + desktop nav,teal circle mark paper translucent header,teal-500 ink-950 font-display hardcoded rgb paper/teal,desktop nav >=64rem,current page aria-current; mark aria-hidden,Current generic CSS product mark is not an authorized institutional signature for the target rebrand,REPLACE,6D.3_HOME_PILOT,REPLACE mark with validated lockup/official asset when authorized. The span.brand__mark is a generic teal disc — it does not reconstruct the Einstein star wordmark or Eretz lockup. RESTYLE remaining chrome via tokens. RGB hardcodes in this file belong to 6D.3 not 6D.2.
DesktopNavigation,src/components/layout/GlobalHeader.astro .desktop-nav,all pages desktop,primary nav,teal current underline,teal-700 teal-500 paper-100 touch-min,hidden <64rem,aria-label Principal,colors CONFLICTS,RESTYLE,6D.3_HOME_PILOT,Same file as header. Preserve IA/labels. Map colors to brand-primary.
MobileNavigation,src/components/layout/MobileNavigation.tsx,all pages <64rem,dialog menu,unicode ☰/✕ elevation-2 ink surfaces,font-body font-display elevation-2,toggle only <64rem,dialog modal focus trap Escape labelled Fechar/Menu; icons aria-hidden,Unicode icons not system icons; FACT menu/dialog overlays underlying content with enough transparency to impair reading,REPLACE,6D.3_HOME_PILOT,REPLACE icons with system icons when authorized. FACT: home-menu-mobile-375.png shows hero text readable through the open menu. DECISION (6D.3): which opacity/color to use. Do not change IA or production in 6D.1.1.
GlobalFooter,src/components/layout/GlobalFooter.astro,all pages,site footer no lockup,paper-100 font-display,ink-950 ink-600 annotation,stacked,no complementary landmark name,No institutional lockup; text-only product name,RESTYLE,6D.3_HOME_PILOT,If lockup validated may appear here OR header not both without decision. PENDING_VALIDATION placement.
ResearchHeader,src/components/research/ResearchHeader.astro,"Clínica Socio Observatório",dark analysis hero,surface-executive cyan notice bar,heading-1 paper-50 cyan-300 rgb paper 8%,title max 18ch,h1 present,Dark ink band CONFLICTS with Einstein digital blues; not a logo,RESTYLE,6D.4_ROLLOUT,Home has its own hero. Mapping executive dark to brand-blue-dark is DASHBOARD_DECISION not MANDATORY. Preserve copy.
EvidenceFooter,src/components/research/EvidenceFooter.astro,"Clínica Socio",limitations+sources,editorial list,heading-2/3 ink-600,editorial width,h2/h3,typography CONFLICTS via display font,RESTYLE,6D.4_ROLLOUT,Do not change limitation/source copy.
Breadcrumbs,src/components/research/Breadcrumbs.astro,"Clínica Socio Observatório",wayfinding,token text,uninspected beyond tokens,wrap,nav semantics expected,low,RESTYLE,6D.4_ROLLOUT,Chrome only.
ResearchSectionNav,src/components/research/ResearchSectionNav.astro,"Clínica Socio",in-page section jump,radius-lg,tokens,cluster wrap,list of fragment links,low,RESTYLE,6D.4_ROLLOUT,
KeyMetric,src/components/executive/KeyMetric.astro,Home (via HomeMetrics); Design System,metric card + evidence,radius-xl font-display teal/amber via badge,tokens,grid wrapping,absent value uses em dash not zero,card chrome CONFLICTS colors,RESTYLE,6D.3_HOME_PILOT,Do not change values/evidence states. Visual only.
EvidenceBadge,src/components/evidence/EvidenceBadge.astro,Home KeyMetric and analysis cards,evidence state chip,teal amber ink line dotted,tokens 999px pill,inline,button expands description; mark aria-hidden; not color-only (label text exists),Semantic colors NEEDS_SEMANTIC_COLOR_DECISION,NEEDS_DECISION,6D.3_HOME_PILOT,Home exercises this component; semantic color decision must be validated in the Home pilot. Do not remap estimated/limited to Einstein blues. No Observatory/visual rollout in 6D.2.
SectionPortal,src/components/executive/SectionPortal.astro,Home Explore as análises,CTA card,elevation-1 radius-lg btn-secondary,tokens,grid,available vs soon,teal buttons CONFLICTS,RESTYLE,6D.3_HOME_PILOT,
HomeHero,src/pages/index.astro #inicio,Home,executive dark hero + CTAs + GlycogenBranchVisual,surface-executive display type cyan buttons,display heading-1 tokens,2-col desktop stack mobile (home-375.png),h1 present,Dark teal-ink + Manrope + cyan CTA CONFLICTS MANDATORY digital brand,RESTYLE,6D.3_HOME_PILOT,Pilot surface. Preserve copy and CTAs hrefs. Visual identity only.
GlycogenBranchVisual,src/components/home/GlycogenBranchVisual.astro,Home hero,authorial SVG metaphor,cyan-teal gradient,css vars in SVG,scales min(100% 28rem) reduced-motion,role img titled,Not Einstein gradient; authorial not lockup,NEEDS_DECISION,6D.3_HOME_PILOT,Do not replace with Einstein star. Do not invent official gradient stops. May restyle stroke to semantic tokens after decision.
ProblemInOneMinute,src/components/home/ProblemInOneMinute.astro,Home,three-point rail,font-display indexes,tokens,3-col wrapping,indexes aria-hidden,display font CONFLICTS,RESTYLE,6D.3_HOME_PILOT,Preserve claims.
MechanismToLife,src/components/home/MechanismToLife.astro,Home,editorial cards,radius-lg,tokens,grid,none notable,colors CONFLICTS,RESTYLE,6D.3_HOME_PILOT,
HomeMetrics,src/components/home/HomeMetrics.astro,Home,metric section wrapping KeyMetric,editorial,tokens,responsive grid,uses KeyMetric a11y,inherits KeyMetric/badge gaps,RESTYLE,6D.3_HOME_PILOT,Copy sanitizers are 6C editorial — do not reopen.
