area,current_state,6d0_requirement_or_direction,gap,severity,classification,recommended_phase,evidence
Display font,Manrope local WOFF2 OFL via --font-display,MANDATORY_BRAND Work Sans for digital headings,font family != digital brand rule,BLOCKER,CONFLICTS,6D.2_FOUNDATION,"TOKEN_INVENTORY; LocalFonts.astro; public/fonts/manrope-variable.woff2; screenshots home/clinical/socio/observatory headings"
Body font,Inter local WOFF2 OFL via --font-body,MANDATORY_BRAND Inter for body/UI,none for family; fallback stack != Montserrat/Arial DASHBOARD_DECISION,LOW,COMPATIBLE,6D.2_FOUNDATION,Inter already present; fallback restyle only
Work Sans files,absent from repo,MANDATORY_BRAND display face,PENDING_ASSET_IMPORT license+files; 6D.2_FOUNDATION BLOCKED_BY_ASSET,BLOCKER,CONFLICTS,6D.2_FOUNDATION,public/fonts listing; no Work Sans; do not swap Manrope until file/license validated
Brand blues,teal/cyan DS v0.2; Einstein hex unused,MANDATORY_BRAND #00539A #0096D2 #00DBFF,current palette != Einstein digital blues,BLOCKER,CONFLICTS,6D.2_FOUNDATION,tokens.css 13 hex; grep zero Einstein hex in src
Neutral scale,ink/paper teal-tinted greys,MANDATORY_BRAND #212121–#F2F2F2 #FFFFFF,neutrals not Einstein except #FFFFFF,HIGH,CONFLICTS,6D.2_FOUNDATION,tokens.css --ink-* --paper-* --line-200
Header mark,CSS 12px teal circle with glow,target institutional signature via authorized official asset,current generic CSS product mark is not the target institutional signature,HIGH,CONFLICTS,6D.3_HOME_PILOT,GlobalHeader.astro .brand__mark is a generic teal disc; it does not reproduce Einstein star wordmark or Eretz lockup; home-1440.png; home-375.png
Lockup Eretz.bio x Einstein,not in repo,asset provided to project; PENDING_VALIDATION authorization,PENDING_ASSET_IMPORT; AUTHORIZATION_STATUS_PENDING_VALIDATION,BLOCKER,NEEDS_VALIDATION,6D.2_FOUNDATION,no png/svg lockup under public/ or src/; spec 6D.0 §3.2
Favicon,Astro default rocket SVG #000/#FFF plus ico,official brand assets; no new logos,wrong mark in tab and og:image,HIGH,CONFLICTS,6D.3_HOME_PILOT,BLOCKED_BY_ASSET / AUTHORIZATION; public/favicon.svg; BaseLayout.astro; do not replace in 6D.2
Footer identity,text-only product name paper-100,DASHBOARD_DECISION lockup may live in footer if validated,no institutional signature,HIGH,CONFLICTS,6D.3_HOME_PILOT,GlobalFooter.astro; screenshots footer
Mobile menu icons,unicode ☰ and ✕,DASHBOARD_DECISION consistent system icons; Flaticon candidate only,inconsistent icon styles (unicode vs none elsewhere),MEDIUM,CONFLICTS,6D.3_HOME_PILOT,MobileNavigation.tsx; home-menu-mobile-375.png
Icon system,no Flaticon/library; one authorial SVG; unicode menu,define outline language before download,iconography absent except menu+glycogen,MEDIUM,UNSPECIFIED_BY_BRAND,6D.2_FOUNDATION,grep no icon library deps; do not search Flaticon in 6D.1
Focus ring,2px solid teal-500 offset 3px; :focus outline none,visible focus required; brand color mapping DASHBOARD_DECISION,focus color is teal not brand blue; focus exists,MEDIUM,CONFLICTS,6D.2_FOUNDATION,global.css :focus-visible; --focus-ring
Hardcoded RGB,5 component rgb literals + token elevations,tokens then components; do not expand 6D.2 to zero all hardcodes,hardcoded color outside token system,HIGH,CONFLICTS,6D.2_FOUNDATION,utilities.css 2 may tokenize in 6D.2 iff same visual output; GlobalHeader 2 → 6D.3; ResearchHeader 1 → 6D.4
Undefined --ink-700,used in observatory components; not in :root,semantic text token,broken token; color fallback,HIGH,CONFLICTS,6D.2_FOUNDATION,FACT of a hole. Replacement value NEEDS_DECISION; do not pre-assign alias. Observatory restyle remains 6D.4.
Undefined --radius-sm,StartupBadges uses missing token,radii PENDING_VALIDATION,inconsistent radius,MEDIUM,CONFLICTS,6D.2_FOUNDATION,FACT of a hole. Replacement value NEEDS_DECISION; do not force Observatory restyle in 6D.2.
Chart bar color,single teal-500 fill all series,DASHBOARD_DECISION; do not collapse categories to 3 blues,non-token-equivalent brand mapping; NEEDS_SEMANTIC_COLOR_DECISION,HIGH,NEEDS_VALIDATION,6D.4_ROLLOUT,StartupBarChart.tsx; no Observatory visual change in 6D.2 or Home pilot
Evidence semantic colors,teal amber ink line for states,NEEDS_SEMANTIC_COLOR_DECISION; not Einstein blues,must not auto-blue evidence states,HIGH,NEEDS_VALIDATION,6D.3_HOME_PILOT,EvidenceBadge.astro; validate on Home pilot; spec 6D.0 §5.3
Einstein official gradient,authorial cyan-teal glycogen SVG only,MANDATORY_BRAND official gradient; CSS formula PENDING_VALIDATION,no official gradient; must not invent stops,HIGH,NEEDS_VALIDATION,6D.3_HOME_PILOT,GlycogenBranchVisual.astro; spec 6D.0 §5.4
Executive dark surfaces,ink-950 heroes Home+research,6D.0 prefers light header; dark band is DASHBOARD_DECISION,distance from Einstein light digital chrome,HIGH,NEEDS_VALIDATION,6D.3_HOME_PILOT,home-1440.png research headers clinical/socio/observatory
On-dark CTA,cyan-300 fill ink text,brand accent mapping unspecified for buttons,btn--on-dark not Einstein light blue,MEDIUM,CONFLICTS,6D.3_HOME_PILOT,utilities.css; home-1440.png
Type scale / tracking,clamp scale; headings -0.02em,PENDING_VALIDATION freeze,unspecified by brand,LOW,UNSPECIFIED_BY_BRAND,6D.3_HOME_PILOT,tokens.css global.css
Spacing radii shadows,space-1..11; 12/16/18px; 2 elevations,PENDING_VALIDATION freeze,unspecified by brand,LOW,UNSPECIFIED_BY_BRAND,6D.2_FOUNDATION,tokens.css; do not invent Einstein radii
Mobile menu scrim,dialog overlay translucent; hero visible underneath,a11y modal must remain readable,FACT: menu/dialog overlays underlying content with enough transparency to impair reading; DECISION: which opacity/color to use,HIGH,UNSPECIFIED_BY_BRAND,6D.3_HOME_PILOT,home-menu-mobile-375.png — current readability/usability issue not a brand-guide rule; do not fix production in 6D.1.1
