category,token_or_value,current_definition,file,line_or_selector,usage_count_or_scope,brand_status,recommended_action,notes
Typography,--font-display,"'Manrope', 'Segoe UI', 'Helvetica Neue', Arial, sans-serif",src/styles/tokens.css,21,global headings h1-h3 .display,CONFLICTS,MAP_TO_BRAND_TOKEN,MANDATORY_BRAND digital headings are Work Sans; Manrope is DS v0.2 not Einstein. KEEP_STRUCTURE of display vs body split; RESTYLE_FONT in 6D.2.
Typography,--font-body,"'Inter', 'Segoe UI', 'Helvetica Neue', Arial, sans-serif",src/styles/tokens.css,22,body labels controls tables,COMPATIBLE,KEEP,Inter is MANDATORY_BRAND for body/UI. Fallback stack is Segoe/Helvetica not Montserrat/Arial-only as 6D.0 DASHBOARD_DECISION. RESTYLE fallback to include Montserrat Arial in 6D.2.
Typography,@font-face Inter,woff2-variations weight 100-900 normal+italic,src/components/layout/LocalFonts.astro,13-26,preloaded local /fonts/inter-*.woff2,MATCHES_6D0,KEEP,OFL Inter already local. Do not reinstall. KEEP_STRUCTURE.
Typography,@font-face Manrope,woff2-variations weight 200-800,src/components/layout/LocalFonts.astro,27-33,preloaded local /fonts/manrope-variable.woff2,CONFLICTS,DEPRECATE,Display face to be replaced by Work Sans when licensed files exist. Do not install in 6D.1. RESTYLE_FONT.
Typography,Work Sans,absent,n/a,n/a,0 files,CONFLICTS,MAP_TO_BRAND_TOKEN,PENDING_ASSET_IMPORT for Work Sans files/license. Not present in public/fonts.
Typography,Montserrat,absent,n/a,n/a,0 files,UNSPECIFIED_BY_BRAND,NEEDS_DECISION,Institutional family; 6D.0 says do not auto-replace digital Work Sans+Inter. Fallback only.
Typography,--display-xl,clamp(2.75rem 7vw 6.5rem),src/styles/tokens.css,24,Home hero .display,UNSPECIFIED_BY_BRAND,NEEDS_DECISION,Type scale not frozen by 6D.0. Wrapping risk if Work Sans metrics differ.
Typography,--display-lg,clamp(2.25rem 5vw 4.5rem),src/styles/tokens.css,25,unused or rare vs heading-1,UNSPECIFIED_BY_BRAND,NEEDS_DECISION,Scale freeze is PENDING_VALIDATION in 6D.0.
Typography,--heading-1,clamp(2rem 4vw 3.5rem),src/styles/tokens.css,26,h1 research+home,UNSPECIFIED_BY_BRAND,KEEP,KEEP_STRUCTURE; RESTYLE_SCALE only after Home pilot.
Typography,--heading-2,clamp(1.5rem 3vw 2.5rem),src/styles/tokens.css,27,h2,UNSPECIFIED_BY_BRAND,KEEP,KEEP_STRUCTURE.
Typography,--heading-3,clamp(1.25rem 2vw 1.5rem),src/styles/tokens.css,28,h3 cards charts,UNSPECIFIED_BY_BRAND,KEEP,KEEP_STRUCTURE. Chart labels use heading-3 + display font.
Typography,--body,clamp(1rem 0.4vw+0.92rem 1.125rem),src/styles/tokens.css,29,body,UNSPECIFIED_BY_BRAND,KEEP,KEEP_STRUCTURE.
Typography,--editorial,clamp(1.0625rem 0.45vw+0.95rem 1.1875rem),src/styles/tokens.css,30,lede/editorial,UNSPECIFIED_BY_BRAND,KEEP,KEEP_STRUCTURE.
Typography,--annotation,0.75rem,src/styles/tokens.css,31,eyebrows badges meta,UNSPECIFIED_BY_BRAND,KEEP,Uppercase + letter-spacing 0.02-0.04em in several components.
Typography,heading letter-spacing,-0.02em,src/styles/global.css,h1 h2 h3 .display,global headings,UNSPECIFIED_BY_BRAND,NEEDS_DECISION,6D.0 forbids decorative overlay on Light text; tracking not specified.
Typography,heading line-height,1.15,src/styles/global.css,h1 h2 h3 .display,global headings,UNSPECIFIED_BY_BRAND,KEEP,KEEP_STRUCTURE.
Typography,font-family declarations count,23 matches in src css/astro/tsx excluding duplicates from path variants,src/**,font-family,LocalFonts 3 literal + rest var(--font-*),CONFLICTS,MAP_TO_BRAND_TOKEN,Literals only Inter/Manrope in LocalFonts; components consume tokens.
Colors,--ink-950,#071b25,src/styles/tokens.css,6,executive surfaces text brand,CONFLICTS,MAP_TO_BRAND_TOKEN,Not Einstein #212121. Used as hero/research-header background.
Colors,--ink-800,#16313b,src/styles/tokens.css,7,primary editorial text,CONFLICTS,MAP_TO_BRAND_TOKEN,Not #212121 / #545454.
Colors,--ink-700,referenced but undefined,src/components/startups/StartupCard.tsx; StartupBarChart; StartupCoverageNotice; StartupEmptyState; pages/inovacao/startups/index.astro,color: var(--ink-700),observatory copy,CONFLICTS,NEEDS_DECISION,Token missing from :root. Invalid custom property; color falls through. FACT of a hole; do not pre-assign a replacement value in this audit. 6D.2 must choose a compatibility strategy.
Colors,--ink-600,#45616a,src/styles/tokens.css,8,secondary text,CONFLICTS,MAP_TO_BRAND_TOKEN,Not #545454.
Colors,--paper-50,#f6f8f7,src/styles/tokens.css,9,editorial bg,CONFLICTS,MAP_TO_BRAND_TOKEN,Not #F2F2F2 / #FFFFFF. Close in lightness only. INFERENCE not FACT of compatibility.
Colors,--paper-100,#edf2f0,src/styles/tokens.css,10,alt surface footer,CONFLICTS,MAP_TO_BRAND_TOKEN,Not #EDEDED.
Colors,--teal-700,#0d6870,src/styles/tokens.css,11,links current-nav buttons,CONFLICTS,MAP_TO_BRAND_TOKEN,Not #00539A. Primary action/identity color today.
