record_id,entity_or_structure,field_name,physical_path,symbol_or_container,data_type,shape_or_cardinality,presence_rule,allowed_values_or_taxonomy,semantic_role,source_of_value,consumer,derivation_rule,validation_rule,history_behavior,publication_status,human_validation,duplicate_group,confidence,evidence_reference,notes
F001,StartupCurrentSelector,currentSnapshotId,painel-gsds/src/data/startups/published/current.json,startupCurrentSelectorSchema,string,1,required,regex ^snap-[a-z0-9-]+$,IDENTIFIER|PUBLICATION_CONTROL,editorial selector file,loadCurrentSelector; loadPublishedSnapshot,NOT_APPLICABLE,publishedSnapshot.ts:245; must exist in registry validate-startup-data.ts:80-84,overwrites previous pointer without storing body,PUBLICATION_INPUT,NOT_OBSERVED,DUP-SELECTOR-ID,FACT,current.json:2; publishedSnapshot.ts:245; loadPublishedSnapshot.ts:46-64,Does not duplicate snapshot body. Raw acquisition layer is not versioned in this repo.
F002,StartupCurrentSelector,selectedAt,painel-gsds/src/data/startups/published/current.json,startupCurrentSelectorSchema,string datetime offset,1,required,ISO-8601 with offset,PROVENANCE,editorial selector file,schema only at runtime; page uses snapshot.publishedAt,NOT_APPLICABLE,publishedSnapshot.ts:246 isoDateTime,replaced with selector,PUBLICATION_INPUT,NOT_OBSERVED,DUP-TIME-PUB,FACT,current.json:3; publishedSnapshot.ts:246,Value 2026-08-24T14:10:00.000Z equals snapshot generatedAt/publishedAt in current freeze.
F003,StartupCurrentSelector,note,painel-gsds/src/data/startups/published/current.json,startupCurrentSelectorSchema,string,1,required min 1,free text,EDITORIAL,editorial selector file,not rendered on observatory page,NOT_APPLICABLE,publishedSnapshot.ts:247,replaced with selector,PUBLICATION_INPUT,NOT_OBSERVED,NOT_APPLICABLE,FACT,current.json:4; publishedSnapshot.ts:247,Mentions 5D.1 correction; pipeline tokens not shown in UI.
F010,StartupPublishedSnapshot,id,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema,string,1,required,regex ^snap-[a-z0-9-]+$,IDENTIFIER,published snapshot authoring,registry index; current.json match,NOT_APPLICABLE,publishedSnapshot.ts:39,stable per file; new snapshot new id,PUBLISHED,NOT_OBSERVED,DUP-SELECTOR-ID,FACT,ecosystem-cumulative-direct-2026-08-24.json:1; publishedSnapshot.ts:39,Canonical current id snap-ecosystem-cumulative-direct-2026-08-24. Not RAW_DATA.
F011,StartupPublishedSnapshot,schemaVersion,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema,string,1,required min 1,free string; observed 1.1.0,PROVENANCE,published snapshot authoring,tests 5B/5C/5D inspected not executed,NOT_APPLICABLE,publishedSnapshot.ts:40,stored per snapshot file,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:2; publishedSnapshot.ts:40,No uninterpreted acquisition layer in repo.
F012,StartupPublishedSnapshot,period,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema,string,1,required,observed 2026-08,PROVENANCE|EDITORIAL,published snapshot authoring,not directly rendered on page,NOT_APPLICABLE,publishedSnapshot.ts:41,stored per snapshot,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:3; publishedSnapshot.ts:41,NOT_APPLICABLE
F013,StartupPublishedSnapshot,generatedAt,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema,string datetime offset,1,required,ISO-8601 offset,PROVENANCE,published snapshot authoring,not page primary date,NOT_APPLICABLE,publishedSnapshot.ts:42,stored per snapshot,PUBLISHED,NOT_OBSERVED,DUP-TIME-PUB,FACT,ecosystem-cumulative-direct-2026-08-24.json:4; publishedSnapshot.ts:42,NOT_APPLICABLE
F014,StartupPublishedSnapshot,publishedAt,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema,string datetime offset,1,required,ISO-8601 offset,PROVENANCE|PUBLICATION_CONTROL,published snapshot authoring,index.astro updatedAt slice 0-10,IDENTITY then slice date,publishedSnapshot.ts:43,stored per snapshot,PUBLISHED,NOT_OBSERVED,DUP-TIME-PUB,FACT,ecosystem-cumulative-direct-2026-08-24.json:5; index.astro:17,NOT_APPLICABLE
F015,StartupPublishedSnapshot,protocolVersion,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema,string,1,required,observed startup-public-cumulative-direct-v1,PROVENANCE,published snapshot authoring,tests inspected; not shown in UI coverage after filters,NOT_APPLICABLE,publishedSnapshot.ts:44,stored per snapshot,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:6; publishedSnapshot.ts:44,Banned in public coverage blob by 5D test (not executed).
F016,StartupPublishedSnapshot,previousSnapshotId,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema,string|null,0..1,optional nullable,regex ^snap-[a-z0-9-]+$,PROVENANCE|IDENTIFIER,published snapshot authoring,none on page; tests 5D inspected,NOT_APPLICABLE,publishedSnapshot.ts:45-49 regex only; existence in glob NOT enforced,chain pointer; does not embed prior body,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:7; publishedSnapshot.ts:45-49,Observed snap-indirect-cumulative-2026-08-18. INV-PREV-1 ASSUMED.
F017,StartupPublishedSnapshot.coverage,status,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,coverage.status,enum string,1,required,startupCoverageStatusValues taxonomies.ts:213-218,TAXONOMY|PUBLICATION_CONTROL,published snapshot authoring,index.astro isEmpty; StartupCoverageNotice statusLabel,label lookup startupCoverageStatusLabels,publishedSnapshot.ts:51; empty-pop rule ts:235-239,replaced with snapshot,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:10; taxonomies.ts:213-218; index.astro:15-16,Current value partial.
F018,StartupPublishedSnapshot.coverage,summary,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,coverage.summary,string,1,required min 1,free text,EDITORIAL,published snapshot authoring,StartupCoverageNotice after A30_ECHO rewrite,index.astro:22-26 string replace; PENDING_7A_COPY,publishedSnapshot.ts:52,stored in snapshot; UI copy may differ,PUBLISHED,NOT_OBSERVED,DUP-COVERAGE-ECHO,FACT,ecosystem-cumulative-direct-2026-08-24.json:11; index.astro:19-26,PENDING_7A_COPY. Raw layer not in repo.
F019,StartupPublishedSnapshot.coverage,limitations,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,coverage.limitations,string[],1..*,required min 1 item,free text items,EDITORIAL,published snapshot authoring,StartupCoverageNotice after A30_ECHO filter,index.astro:28 filter,publishedSnapshot.ts:53,stored in snapshot,PUBLISHED,NOT_OBSERVED,DUP-COVERAGE-ECHO,FACT,ecosystem-cumulative-direct-2026-08-24.json:12-20; index.astro:19-28,PENDING_7A_COPY. Item L14 matches A30_ECHO.
F020,StartupPublishedSnapshot.counts,organizations,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required nonnegative,integer >=0,DERIVED,must equal organizations.length,schema equality; not VIZ bars,publishedSnapshot.ts:213,publishedSnapshot.ts:225-232,stored; recomputed at parse,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:23; publishedSnapshot.ts:213,120. Unit = collection length.
F021,StartupPublishedSnapshot.counts,productsOrPrograms,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,productsOrPrograms.length,schema equality,publishedSnapshot.ts:214,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:24; json:1860,0 means empty materialized array not missing field and not absence of asset text.
F022,StartupPublishedSnapshot.counts,relevanceAssessments,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,relevanceAssessments.length,schema equality,publishedSnapshot.ts:215,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:25; publishedSnapshot.ts:215,121.
F023,StartupPublishedSnapshot.counts,publicSources,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,publicSources.length,schema equality; 5D test inspected,publishedSnapshot.ts:216,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:26; publishedSnapshot.ts:216,217.
F024,StartupPublishedSnapshot.counts,directGsd,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,count assessments relationship===direct-gsd,schema; coincidentally equals VIZ01 direct in this freeze,publishedSnapshot.ts:142,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-REL,FACT,ecosystem-cumulative-direct-2026-08-24.json:28; publishedSnapshot.ts:142,Unit=assessment. Observed 28.
